game_id,game_name,game_web,platform,wii,ps3,xbox360,critic_score,critic_score1,critic_score2,critic_score3,wii_score,ps3_score,xbox360_score,Check
614204,Binary Domain,/ps3/614204-binary-domain,ps3,0,1,0,72,72,74,,,72,74,1
614208,Tom Clancy's Splinter Cell: Blacklist,/xbox360/614208-tom-clancys-splinter-cell-blacklist,xbox360,0,1,1,82,82,84,,,84,82,1
614508,Bit.Trip Flux,/wii/614508-bittrip-flux,wii,1,0,0,81,81,,,81,,,1
614524,Alien Breed 2: Assault,/ps3/614524-alien-breed-2-assault,ps3,0,1,0,69,69,67,,,69,67,1
614909,Ghostbusters: Sanctum of Slime,/ps3/614909-ghostbusters-sanctum-of-slime,ps3,0,1,0,42,42,45,,,42,45,1
614978,Ms. 'Splosion Man,/xbox360/614978-ms-splosion-man,xbox360,0,0,1,83,83,,,,,83,1
614995,Jimmie Johnson's Anything With an Engine,/ps3/614995-jimmie-johnsons-anything-with-an-engine,ps3,1,1,0,67,67,65,,,67,65,1
615288,Okabu,/ps3/615288-okabu,ps3,0,1,0,59,59,,,,59,,1
615370,Doritos Crash Course,/xbox360/615370-doritos-crash-course,xbox360,0,0,1,74,74,,,,,74,1
615371,Harms Way,/xbox360/615371-harms-way,xbox360,0,0,1,65,65,,,,,65,1
615426,Uncharted 3: Drake's Deception,/ps3/615426-uncharted-3-drakes-deception,ps3,0,1,0,92,92,,,,92,,1
615699,Tomb Raider,/ps3/615699-tomb-raider,ps3,0,1,0,87,87,86,,,87,86,1
615804,The Elder Scrolls V: Skyrim,/ps3/615804-the-elder-scrolls-v-skyrim,ps3,0,1,0,92,92,96,,,92,96,1
615810,SSX,/ps3/615810-ssx,ps3,0,1,0,,,,,,81,82,1
615816,Prototype 2,/ps3/615816-prototype-2,ps3,0,1,0,79,79,74,,,79,74,1
616012,Tales of Xillia,/ps3/616012-tales-of-xillia,ps3,0,1,0,78,78,,,,78,,1
616326,MLB 11: The Show,/ps3/616326-mlb-11-the-show,ps3,0,1,0,90,90,,,,90,,1
617221,Dungeons & Dragons: Daggerdale,/ps3/617221-dungeons-and-dragons-daggerdale,ps3,0,1,0,46,46,46,,,46,46,1
617322,Tropico 4,/xbox360/617322-tropico-4,xbox360,0,0,1,77,77,,,,,77,1
617354,Ghost Mania,/wii/617354-ghost-mania,wii,1,0,0,57,57,,,57,,,1
617357,Top Darts,/ps3/617357-top-darts,ps3,0,1,0,70,70,,,,70,,1
618245,Oddworld: Stranger's Wrath HD,/ps3/618245-oddworld-strangers-wrath-hd,ps3,0,1,0,82,82,,,,82,,1
618273,Tiger Woods PGA Tour 12: The Masters,/ps3/618273-tiger-woods-pga-tour-12-the-masters,ps3,1,1,0,,,,,85,80,80,1
618628,Full House Poker,/xbox360/618628-full-house-poker,xbox360,0,0,1,77,77,,,,,77,1
618629,Bejeweled Blitz Live,/xbox360/618629-bejeweled-blitz-live,xbox360,0,0,1,68,68,,,,,68,1
618630,Torchlight,/xbox360/618630-torchlight,xbox360,0,0,1,81,81,,,,,81,1
618770,Insanely Twisted Shadow Planet,/xbox360/618770-insanely-twisted-shadow-planet,xbox360,0,0,1,76,76,,,,,76,1
618775,Modern Combat: Domination,/ps3/618775-modern-combat-domination,ps3,0,1,0,67,67,,,,67,,1
619315,Final Fantasy XIII-2,/ps3/619315-final-fantasy-xiii-2,ps3,0,1,0,79,79,79,,,79,79,1
619503,Dead Space: Extraction,/ps3/619503-dead-space-extraction,ps3,1,1,0,79,82,79,,82,79,,1
619744,Warp,/xbox360/619744-warp,xbox360,0,1,1,73,78,73,,,78,73,1
619747,Exerbeat,/wii/619747-exerbeat,wii,1,0,0,60,60,,,60,,,1
619843,Time Machine: Rogue Pilot,/ps3/619843-time-machine-rogue-pilot,ps3,0,1,0,64,64,,,,64,,1
619910,Karaoke Revolution Glee: Volume 2,/wii/619910-karaoke-revolution-glee-volume-2,wii,1,0,0,67,67,,,67,,,1
619946,Galaga Legions DX,/ps3/619946-galaga-legions-dx,ps3,0,1,0,72,72,74,,,72,74,1
620232,Tears to Tiara II: Heir of the Overlord,/ps3/620232-tears-to-tiara-ii-heir-of-the-overlord,ps3,0,1,0,65,65,,,,65,,1
620242,Alien Breed 3: Descent,/ps3/620242-alien-breed-3-descent,ps3,0,1,0,64,64,68,,,64,68,1
620290,Anarchy Reigns,/xbox360/620290-anarchy-reigns,xbox360,0,1,1,73,73,71,,,71,73,1
620506,Acceleration of SUGURI X-Edition,/ps3/620506-acceleration-of-suguri-x-edition,ps3,0,1,0,61,61,,,,61,,1
620507,Akimi Village,/ps3/620507-akimi-village,ps3,0,1,0,69,69,,,,69,,1
620508,Sideway: New York,/ps3/620508-sideway-new-york,ps3,0,1,0,73,73,,,,73,,1
620509,Rochard,/ps3/620509-rochard,ps3,0,1,0,79,79,,,,79,,1
620580,Chime Super Deluxe,/ps3/620580-chime-super-deluxe,ps3,0,1,0,78,78,,,,78,,1
620591,Pandora's Tower,/wii/620591-pandoras-tower,wii,1,0,0,73,73,,,73,,,1
620598,SEGA Rally Online Arcade,/ps3/620598-sega-rally-online-arcade,ps3,0,1,0,70,70,70,,,70,70,1
620816,Crazy Machines Elements,/ps3/620816-crazy-machines-elements,ps3,0,1,0,,,,,,62,55,1
